NCM;EX;DESCRIÄ«O;AL÷QUOTA;
02.07;;Carnes e miudezas, comest°veis, frescas, refrigeradas ou congeladas, das aves da posiá∆o 01.05.;;
0207.1;;- De aves da espÇcie Gallus domesticus:;;
0207.11.00;;-- N∆o cortadas em pedaáos, frescas ou refrigeradas ;0;
0207.12;;-- N∆o cortadas em pedaáos, congeladas ;;
0207.12.10;;       Com miudezas;0;
0207.12.20;;       Sem miudezas;0;
0207.13.00;;-- Pedaáos e miudezas, frescos ou refrigerados ;0;
0207.14;;-- Pedaáos e miudezas, congelados ;;
0207.14.1;;    Pedaáos n∆o desossados;;
0207.14.11;;      Peitos;0;
0207.14.12;;      Coxas com sobrecoxas;0;
0207.14.13;;      Asas;0;
0207.14.19;;      Outros;0;
0207.14.2;;    Pedaáos desossados;;
0207.14.21;;      Peitos, coxas e sobrecoxas, formando uma s¢ peáa;0;
0207.14.22;;      Peitos;0;
0207.14.23;;      Coxas com sobrecoxas;0;
0207.14.24;;      Carne mecanicamente separada;0;
0207.14.29;;      Outros;0;
0207.14.3;;    Miudezas;;
0207.14.31;;      F°gados;0;
0207.14.32;;      Moelas;0;
0207.14.33;;      Coraá‰es;0;
0207.14.34;;      PÇs e patas;0;
0207.14.39;;      Outras;0;
0207.2;;- De peruas e de perus:;;
0207.24.00;;-- N∆o cortadas em pedaáos, frescas ou refrigeradas ;0;
0207.25.00;;-- N∆o cortadas em pedaáos, congeladas ;0;
0207.26.00;;-- Pedaáos e miudezas, frescos ou refrigerados ;0;
0207.27.00;;-- Pedaáos e miudezas, congelados ;0;
0207.4;;- De patos:;;
0207.41.00;;-- N∆o cortadas em pedaáos, frescas ou refrigeradas ;0;
0207.42.00;;-- N∆o cortadas em pedaáos, congeladas ;0;
0207.43.00;;-- F°gados gordos (foies gras), frescos ou refrigerados ;0;
0207.44.00;;-- Outras, frescas ou refrigeradas ;0;
0207.45.00;;-- Outras, congeladas ;0;
0207.5;;- De gansos:;;
0207.51.00;;-- N∆o cortadas em pedaáos, frescas ou refrigeradas ;0;
0207.52.00;;-- N∆o cortadas em pedaáos, congeladas ;0;
0207.53.00;;-- F°gados gordos (foies gras), frescos ou refrigerados ;0;
0207.54.00;;-- Outras, frescas ou refrigeradas ;0;
0207.55.00;;-- Outras, congeladas ;0;
0207.60.00;;- De galinhas-d'angola (pintadas) ;0;
02.08;;Outras carnes e miudezas comest°veis, frescas, refrigeradas ou congeladas.;;
0208.10.00;;- De coelhos ou lebres ;0;
0208.30.00;;- De primatas ;0;
0208.40.00;;"- De baleias, golfinhos e botos (mam°feros da ordem Cetacea); de peixes-boi (manatins) e dugongos
(mam°feros da ordem Sirenia); de ot†rias e focas, le‰es-marinhos e morsas (mam°feros da
subordem Pinnipedia) ";0;
0208.50.00;;- De rÇpteis (incluindo as serpentes e as tartarugas marinhas) ;0;
0208.60.00;;- De camelos e outros camel°deos (Camelidae) ;0;
0208.90.00;;- Outras ;0;
02.09;;Toucinho sem partes magras, gorduras de porco e de aves, n∆o fundidas nem extra°das de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados).;;
0209.1;;- De porco;;
0209.10.1;;Toucinho;;
0209.10.11;;Fresco, refrigerado ou congelado ;0;
0209.10.19;;Outros ;0;
0209.10.2;;Gordura;;
0209.10.21;;Fresca, refrigerada ou congelada ;0;
0209.10.29;;Outras ;0;
0209.90.00;;- Outros ;0;
02.1;;"Carnes e miudezas, comest°veis, salgadas ou em salmoura, secas ou defumadas (fumadas); farinhas e p¢s, comest°veis, de carnes ou de miudezas.";;
0210.1;;- Carnes da espÇcie su°na:;;
0210.11.00;;-- Pernas, p†s e respectivos pedaáos, n∆o desossados ;0;
0210.12.00;;-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaáos ;0;
0210.19.00;;-- Outras ;0;
0210.20.00;;- Carnes da espÇcie bovina ;0;
0210.9;;- Outras, incluindo as farinhas e p¢s, comest°veis, de carnes ou de miudezas:;;
0210.91.00;;-- De primatas ;0;
0210.91.00;01;"Miudezas; farinhas e p¢s dessas miudezas";NT;
0210.92.00;;"-- De baleias, golfinhos e botos (mam°feros da ordem Cetacea); de peixes-boi (manatins) e dugongos (mam°feros da ordem Sirenia); de ot†rias e focas, le‰es-marinhos e morsas (mam°feros da subordem Pinnipedia)";0;
0210.92.00;01;"Miudezas; farinhas e p¢s dessas miudezas";NT;
0210.93.00;;-- De rÇpteis (incluindo as serpentes e as tartarugas marinhas) ;0;
0210.93.00;01;"Miudezas; farinhas e p¢s dessas miudezas";NT;
0210.99;;-- Outras;;
0210.99.1;;Carnes de aves da posiá∆o 01.05;;
0210.99.11;;De galos e de galinhas ;0;
0210.99.19;;Outras ;0;
0210.99.20;;Carnes da espÇcie ovina ;0;
0210.99.30;;Carnes da espÇcie cavalar ;0;
0210.99.40;;Miudezas comest°veis ;NT;
0210.99.90;;Outras ;0;
0210.99.90;01;Farinhas e p¢s das miudezas do c¢digo 0210.99.40;NT;
03.01;;Peixes vivos.;;
0301.1;;- Peixes ornamentais:;;
0301.11;;-- De †gua doce;;
0301.11.10;;Aruan∆ (Osteoglossum bicirrhosum) ;NT;
0301.11.90;;Outros ;NT;
0301.19.00;;-- Outros ;NT;
0301.9;;- Outros peixes vivos:;;
0301.91;;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);;
0301.91.10;;Para reproduá∆o ;NT;
0301.91.90;;Outras ;NT;
0301.92;;-- Enguias (Anguilla spp.);;
0301.92.10;;Para reproduá∆o ;NT;
0301.92.90;;Outras ;NT;
0301.93;;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.);;
0301.93.10;;Para reproduá∆o ;NT;
0301.93.90;;Outras ;NT;
0301.94;;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis);;
0301.94.10;;Para reproduá∆o ;NT;
0301.94.90;;Outras ;NT;
0301.95;;-- Atum-azul do sul (atum) (Thunnus maccoyii);;
0301.95.10;;Para reproduá∆o ;NT;
0301.95.90;;Outros ;NT;
0301.99;;-- Outros;;
0301.99.1;;Para reproduá∆o;;
0301.99.11;;"Til†pias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus h°bridos) ";NT;
0301.99.12;;Esturj‰es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus) ;NT;
0301.99.19;;Outros ;NT;
0301.99.9;;Outros;;
0301.99.91;;"Til†pias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus h°bridos) ";NT;
0301.99.92;;Esturj‰es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus) ;NT;
0301.99.99;;Outros ;NT;
03.02;;Peixes frescos ou refrigerados, exceto os filÇs (filetes) de peixes e outra carne de peixes da posiá∆o 03.04.;;
0302.1;;- Salmon°deos, exceto subprodutos comest°veis de peixes das subposiá‰es 0302.91 a 0302.99:;;
0302.11.00;;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) ;0;
0302.13.00;;-- Salm‰es-do-pac°fico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus) ;0;
0302.14.00;;-- Salm∆o-do-atlÉntico (Salmo salar) e salm∆o-do-dan£bio (Hucho hucho) ;0;
0302.19.00;;-- Outros ;0;
0302.2;;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comest°veis de peixes das subposiá‰es 0302.91 a 0302.99:;;
0302.21.00;;-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) ;0;
0302.22.00;;-- Solha (Pleuronectes platessa) ;0;
0302.23.00;;-- Linguados (Solea spp.) ;0;
0302.24.00;;-- Pregado (Psetta maxima) ;0;
0302.29.00;;-- Outros ;0;
0302.3;;- Atuns (do gànero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comest°veis de peixes das subposiá‰es 0302.91 a 0302.99:;;
0302.31.00;;-- Albacora-branca (atum) (Thunnus alalunga) ;0;
0302.32.00;;-- Albacora-laje (atum) (Thunnus albacares) ;0;
0302.33.00;;-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis) ;0;
0302.34.00;;-- Albacora-bandolim (atum) (Thunnus obesus) ;0;
0302.35.00;;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis) ;0;
0302.36.00;;-- Atum-azul do sul (atum) (Thunnus maccoyii) ;0;
0302.39.00;;-- Outros ;0;
0302.4;;- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueir‰es*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-°ndico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xarÇus (Caranx spp.), bijupir† (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulh∆o-do-jap∆o (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comest°veis de peixes das subposiá‰es 0302.91 a 0302.99:;;
0302.41.00;;-- Arenques (Clupea harengus, Clupea pallasii) ;0;
302.42;;-- Anchovas (Biqueir‰es*) (Engraulis spp.);;
0302.42.10;;Anchoita (Engraulis anchoita) ;0;
0302.42.90;;Outros ;0;
0302.43.00;;-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus) ;0;
0302.44.00;;-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus) ;0;
0302.45.00;;-- Carapaus (Trachurus spp.) ;0;
0302.46.00;;-- Bijupir† (Cobia*) (Rachycentron canadum) ;0;
0302.47.00;;-- Espadarte (Xiphias gladius) ;0;
302.49;;-- Outros;;
0302.49.10;;Espadins, marlins, veleiros (Istiophoridae) ;0;
0302.49.90;;Outros ;0;
0302.5;;- Peixes das fam°lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comest°veis de peixes das subposiá‰es 0302.91 a 0302.99:C253;;
0302.51.00;;-- Bacalhau-do-atlÉntico (Gadus morhua), bacalhau-da-groelÉndia (Gadus ogac) e bacalhau-do-pac°fico (Gadus macrocephalus) ;0;
0302.52.00;;-- Hadoque (Arinca*) (Melanogrammus aeglefinus) ;0;
0302.53.00;;-- Saithe (Escamudo*) (Pollachius virens) ;0;
0302.54.00;;-- Merluzas (Pescadas*) e abr¢teas (Merluccius spp., Urophycis spp.) ;0;
0302.55.00;;-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma) ;0;
0302.56.00;;-- Verdinhos (Micromesistius poutassou, Micromesistius australis) ;0;
0302.59.00;;-- Outros ;0;
0302.7;;- Til†pias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeáa-de serpente (Channa spp.), exceto subprodutos comest°veis de peixes das subposiá‰es 0302.91 a 0302.99:;;
0302.71.00;;-- Til†pias (Oreochromis spp.) ;0;
0302.72;;-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);;
0302.72.10;;Bagre americano (Ictalurus punctatus) ;0;
0302.72.90;;Outros ;0;
0302.73.00;;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.) ;0;
0302.74.00;;-- Enguias (Anguilla spp.) ;0;
0302.79.00;;-- Outros ;0;
0302.8;;- Outros peixes, exceto subprodutos comest°veis de peixes das subposiá‰es 0302.91 a 0302.99:;;
0302.81.00;;-- Caá∆o e outros tubar‰es ;0;
0302.82.00;;-- Raias (Rajidae) ;0;
0302.83;;-- Merluza negra e merluza ant†rtica (Marlongas*) (Dissostichus spp.);;
0302.83.10;;Merluza negra (Dissostichus eleginoides) ;0;
0302.83.20;;Merluza ant†rtica (Dissostichus mawsoni) ;0;
0302.84.00;;-- Robalos (Dicentrarchus spp.) ;0;
0302.85.00;;-- Espar°deos (Sparidae) ;0;
0302.89;;-- Outros;;
0302.89.10;;Pargo (Lutjanus purpureus) ;0;
0302.89.2;;"Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), esturj∆o (Acipenser baerii) e
peixes-rei (Atherina spp.)";;
0302.89.21;;Cherne-poveiro (Polyprion americanus) ;0;
0302.89.22;;Garoupas (Acanthistius spp.) ;0;
0302.89.23;;Esturj∆o (Acipenser baerii) ;0;
0302.89.24;;Peixes-rei (Atherina spp.) ;0;
0302.89.3;;"Curimat∆s (Prochilodus spp.), til†pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h°bridos), surubins (Pseudoplatystoma spp.), tra°ra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.), tainhas (Mugil spp.), pirarucu (Arapaima gigas) e pescadas (Cynoscion spp.)";;
0302.89.31;;Curimat∆s (Prochilodus spp.) ;0;
0302.89.32;;"Til†pias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus h°bridos) ";0;
0302.89.33;;Surubins (Pseudoplatystoma spp.) ;0;
0302.89.34;;Tra°ra (Hoplias malabaricus & H. cf. lacerdae) ;0;
0302.89.35;;Piaus (Leporinus spp.) ;0;
0302.89.36;;Tainhas (Mugil spp.) ;0;
0302.89.37;;Pirarucu (Arapaima gigas) ;0;
0302.89.38;;Pescadas (Cynoscion spp.) ;0;
0302.89.4;;Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (h°brido de tambaqui e pacu);;
0302.89.41;;Piramutaba (Brachyplatystoma vaillantii) ;0;
0302.89.42;;Dourada (Brachyplatystoma flavicans) ;0;
0302.89.43;;Pacu (Piaractus mesopotamicus) ;0;
0302.89.44;;Tambaqui (Colossoma macropomum) ;0;
0302.89.45;;Tambacu (h°brido de tambaqui e pacu) ;0;
0302.89.90;;Outros ;0;
0302.9;;- F°gados, ovas, gìnadas masculinas, barbatanas, cabeáas, caudas, bexigas-natat¢rias e outros subprodutos comest°veis de peixes:;;
0302.91;;-- F°gados, ovas e gìnadas masculinas ;;
0302.91.10;;       Ovas de tainhas (Mugil spp.);0;
0302.91.90;;       Outros;0;
0302.92.00;;-- Barbatanas de tubar∆o ;0;
0302.99.00;;-- Outros ;0;
3.03;;Peixes congelados, exceto os filÇs (filetes) de peixes e outra carne de peixes da posiá∆o 03.04.;;
0303.1;;- Salmon°deos, exceto subprodutos comest°veis de peixes das subposiá‰es 0303.91 a 0303.99:;;
0303.11.00;;-- Salm∆o-do-pac°fico (salm∆o-vermelho) (Oncorhynchus nerka) ;0;
0303.12.00;;-- Outros salm‰es-do-pac°fico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus) ;0;
0303.13.00;;-- Salm∆o-do-atlÉntico (Salmo salar) e salm∆o-do-dan£bio (Hucho hucho) ;0;
0303.14.00;;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster) ;0;
0303.19.00;;-- Outros ;0;
