NCM;EX;DESCRIÄ«O;AL÷QUOTA;
1104.1;;- Gr∆os esmagados ou em flocos:;;
1104.12.00;;-- De aveia ;0;
1104.19.00;;-- De outros cereais ;0;
1104.2;;- Outros gr∆os trabalhados (por exemplo, descascados, em pÇrolas, cortados ou partidos):;;
1104.22.00;;-- De aveia ;0;
1104.23.00;;-- De milho ;0;
1104.29.00;;-- De outros cereais ;0;
1104.30.00;;- Germes de cereais, inteiros, esmagados, em flocos ou mo°dos ;0;
11.05;;Farinha, sàmola, p¢, flocos, grÉnulos e pellets, de batata.;;
1105.10.00;;- Farinha, sàmola e p¢ ;0;
1105.20.00;;- Flocos, grÉnulos e pellets ;0;
11.06;;Farinhas, sàmolas e p¢s, dos legumes de vagem, secos, da posiá∆o 07.13, de sagu ou das ra°zes ou tubÇrculos da posiá∆o 07.14 e dos produtos do Cap°tulo 8.;;
1106.10.00;;- Dos legumes de vagem, secos, da posiá∆o 07.13 ;0;
1106.20.00;;- De sagu ou das ra°zes ou tubÇrculos, da posiá∆o 07.14 ;0;
1106.30.00;;- Dos produtos do Cap°tulo 8 ;0;
11.07;;Malte, mesmo torrado.;;
1107.1;;- N∆o torrado;;
1107.10.10;;Inteiro ou partido ;3,25;
1107.10.20;;Mo°do ou em farinha ;3,25;
1107.2;;- Torrado;;
1107.20.10;;Inteiro ou partido ;3,25;
1107.20.20;;Mo°do ou em farinha ;3,25;
11.08;;"Amidos e fÇculas; inulina.";;
1108.1;;- Amidos e fÇculas:;;
1108.11.00;;-- Amido de trigo ;0;
1108.12.00;;-- Amido de milho ;0;
1108.13.00;;-- FÇcula de batata ;0;
1108.14.00;;-- FÇcula de mandioca ;0;
1108.19.00;;-- Outros amidos e fÇculas ;0;
1108.20.00;;- Inulina ;0;
1109.00.00;;Gl£ten de trigo, mesmo seco. ;0;
12.01;;Soja, mesmo triturada.;;
1201.10.00;;- Para semeadura (sementeira) ;NT;
1201.90.00;;- Outras ;NT;
12.02;;Amendoins n∆o torrados nem de outro modo cozidos, mesmo descascados ou triturados.;;
1202.30.00;;- Para semeadura (sementeira) ;NT;
1202.4;;- Outros:;;
1202.41.00;;-- Com casca ;NT;
1202.42.00;;-- Descascados, mesmo triturados ;NT;
1203.00.00;;Copra. ;NT;
1204;;Linhaáa (sementes de linho), mesmo triturada.;;
1204.00.10;;Para semeadura (sementeira) ;NT;
1204.00.90;;Outras ;NT;
12.05;;Sementes de nabo silvestre ou de colza, mesmo trituradas.;;
1205.1;;- Sementes de nabo silvestre ou de colza com baixo teor de †cido er£cico;;
1205.10.10;;Para semeadura (sementeira) ;NT;
1205.10.90;;Outras ;NT;
1205.9;;- Outras;;
1205.90.10;;Para semeadura (sementeira) ;NT;
1205.90.90;;Outras ;NT;
1206;;Sementes de girassol, mesmo trituradas.;;
1206.00.10;;Para semeadura (sementeira) ;NT;
1206.00.90;;Outras ;NT;
12.07;;Outras sementes e frutos oleaginosos, mesmo triturados.;;
1207.1;;- Nozes e amàndoas de palma (palmiste) (coconote);;
1207.10.10;;Para semeadura (sementeira) ;NT;
1207.10.90;;Outras ;NT;
1207.2;;- Sementes de algod∆o:;;
1207.21.00;;-- Para semeadura (sementeira) ;NT;
1207.29.00;;-- Outras ;NT;
1207.3;;- Sementes de r°cino (mamona);;
1207.30.10;;Para semeadura (sementeira) ;NT;
1207.30.90;;Outras ;NT;
1207.4;;- Sementes de gergelim (sÇsamo);;
1207.40.10;;Para semeadura (sementeira) ;NT;
1207.40.90;;Outras ;NT;
1207.5;;- Sementes de mostarda;;
1207.50.10;;Para semeadura (sementeira) ;NT;
1207.50.90;;Outras ;NT;
1207.6;;- Sementes de c†rtamo (Carthamus tinctorius);;
1207.60.10;;Para semeadura (sementeira) ;NT;
1207.60.90;;Outras ;NT;
1207.7;;- Sementes de mel∆o;;
1207.70.10;;Para semeadura (sementeira) ;NT;
1207.70.90;;Outras ;NT;
1207.9;;- Outros:;;
1207.91;;-- Sementes de dormideira (papoula);;
1207.91.10;;Para semeadura (sementeira) ;NT;
1207.91.90;;Outras ;NT;
1207.99;;-- Outros;;
1207.99.10;;Para semeadura (sementeira) ;NT;
1207.99.90;;Outros ;NT;
12.08;;Farinhas de sementes ou de frutos oleaginosos, exceto farinha de mostarda.;;
1208.10.00;;- De soja ;0;
1208.90.00;;- Outras ;0;
12.09;;Sementes, frutos e esporos, para semeadura (sementeira).;;
1209.10.00;;- Sementes de beterraba sacarina ;NT;
1209.2;;- Sementes de plantas forrageiras:;;
1209.21.00;;-- Sementes de alfafa (luzerna) ;NT;
1209.22.00;;-- Sementes de trevo (Trifolium spp.) ;NT;
1209.23.00;;-- Sementes de festuca ;NT;
1209.24.00;;-- Sementes de pasto dos prados de Kentucky (Poa pratensis L.) ;NT;
1209.25.00;;-- Sementes de azevÇm (Lolium multiflorum Lam., Lolium perenne L.) ;NT;
1209.29.00;;-- Outras ;NT;
1209.30.00;;- Sementes de plantas herb†ceas cultivadas especialmente pelas suas flores ;NT;
1209.9;;- Outros:;;
1209.91.00;;-- Sementes de produtos hort°colas ;NT;
1209.99.00;;-- Outros ;NT;
12.1;;"Cones de l£pulo, frescos ou secos, mesmo triturados ou mo°dos ou em pellets; lupulina.";;
1210.10.00;;- Cones de l£pulo, n∆o triturados nem mo°dos nem em pellets ;NT;
1210.2;;"- Cones de l£pulo, triturados ou mo°dos ou em pellets; lupulina";;
1210.20.10;;Cones de l£pulo ;NT;
1210.20.20;;Lupulina ;NT;
12.11;;Plantas, partes de plantas, sementes e frutos, das espÇcies utilizadas principalmente em perfumaria, medicina ou como inseticidas, parasiticidas e semelhantes, frescos, refrigerados, congelados ou secos, mesmo cortados, triturados ou em p¢.;;
1211.20.00;;- Ra°zes de ginseng ;NT;
1211.20.00;01;Secas;0;
1211.30.00;;- Coca (folha de) ;NT;
1211.30.00;01;Seca;0;
1211.40.00;;- Palha de dormideira (papoula) ;NT;
1211.40.00;01;Seca;0;
1211.50.00;;- êfedra ;NT;
1211.50.00;01;Seca;0;
1211.60.00;;- Casca de cerejeira africana (Prunus africana) ;NT;
1211.60.00;01;Seca;0;
1211.9;;- Outros;;
1211.90.10;;OrÇgano (Origanum vulgare) ;NT;
1211.90.10;01;Seco;0;
1211.90.90;;Outros ;NT;
1211.90.90;01;Secos;0;
12.12;;"Alfarroba, algas, beterraba sacarina e cana-de-aá£car, frescas, refrigeradas, congeladas ou secas, mesmo em p¢; caroáos e amàndoas de frutos e outros produtos vegetais (incluindo as ra°zes de chic¢ria n∆o torradas, da variedade Cichorium intybus sativum) utilizados principalmente na alimentaá∆o humana, n∆o especificados nem compreendidos noutras posiá‰es.";;
1212.2;;- Algas:;;
1212.21.00;;-- Pr¢prias para alimentaá∆o humana ;0;
1212.21.00;01;Congeladas;NT;
1212.29.00;;-- Outras ;NT;
1212.29.00;01;Das espÇcies utilizadas principalmente em medicina, secas;0;
1212.9;;- Outros:;;
1212.91.00;;-- Beterraba sacarina ;NT;
1212.92.00;;-- Alfarroba ;NT;
1212.92.00;01;Seca, inclu°das as suas sementes;0;
1212.93.00;;-- Cana-de-aá£car ;0;
1212.94.00;;-- Ra°zes de chic¢ria ;NT;
1212.99;;-- Outros;;
1212.99.10;;EstÇvia (Ka'a He'?) (Stevia rebaudiana) ;0;
1212.99.90;;Outros ;0;
1213.00.00;;Palhas e cascas de cereais, em bruto, mesmo picadas, mo°das, prensadas ou em pellets. ;NT;
12.14;;Rutabagas, beterrabas forrageiras, ra°zes forrageiras, feno, alfafa (luzerna), trevo, sanfeno, couves forrageiras, tremoáo, ervilhaca e produtos forrageiros semelhantes, mesmo em pellets.;;
1214.10.00;;- Farinha e pellets, de alfafa (luzerna) ;NT;
1214.90.00;;- Outros ;NT;
13.01;;"Goma-laca; gomas, resinas, gomas-resinas e oleorresinas (b†lsamos, por exemplo), naturais.";;
1301.20.00;;- Goma-ar†bica ;0;
1301.9;;- Outros;;
1301.90.10;;Goma-laca ;0;
1301.90.90;;Outros ;0;
13.02;;"Sucos e extratos vegetais; matÇrias pÇcticas, pectinatos e pectatos; †gar-†gar e outros produtos mucilaginosos e espessantes, derivados dos vegetais, mesmo modificados.";;
1302.1;;- Sucos e extratos vegetais:;;
1302.11;;-- ‡pio;;
1302.11.10;;Concentrados de palha de papoula ;0;
1302.11.90;;Outros ;0;
1302.12.00;;-- De alcaáuz (regoliz) ;0;
1302.13.00;;-- De l£pulo ;3,25;
1302.14.00;;-- De Çfedra ;0;
1302.19;;-- Outros;;
1302.19.10;;De mam∆o (Carica papaya), seco ;0;
1302.19.20;;"De semente de toranja; de semente de pomelo ";0;
1302.19.30;;De Ginkgo biloba, seco ;0;
1302.19.40;;Valepotriatos ;0;
1302.19.50;;De ginseng ;0;
1302.19.60;;Silimarina ;0;
1302.19.9;;Outros;;
1302.19.91;;De p°retro ou de ra°zes de plantas que contenham rotenona ;0;
1302.19.99;;Outros ;0;
1302.2;;- MatÇrias pÇcticas, pectinatos e pectatos;;
1302.20.10;;MatÇrias pÇcticas (pectinas) ;0;
1302.20.90;;Outros ;0;
1302.3;;- Produtos mucilaginosos e espessantes, derivados dos vegetais, mesmo modificados:;;
1302.31.00;;-- µgar-†gar ;0;
1302.32;;-- Produtos mucilaginosos e espessantes, de alfarroba, de sementes de alfarroba ou de sementes de guar, mesmo modificados;;
1302.32.1;;De alfarroba ou de suas sementes;;
1302.32.11;;Farinha de endosperma ;0;
1302.32.19;;Outros ;0;
1302.32.20;;De sementes de guar ;0;
1302.39;;-- Outros;;
1302.39.10;;Carragenina (musgo-de-irlanda) ;0;
1302.39.90;;Outros ;0;
14.01;;MatÇrias vegetais das espÇcies principalmente utilizadas em cestaria ou espartaria (por exemplo, bambus, rotins, canas, juncos, vimes, r†fia, palha de cereais limpa, branqueada ou tingida, casca de t°lia).;;
1401.10.00;;- Bambus ;NT;
1401.20.00;;- Rotins ;NT;
1401.90.00;;- Outras ;NT;
14.04;;Produtos vegetais n∆o especificados nem compreendidos noutras posiá‰es.;;
1404.2;;- L°nteres de algod∆o;;
1404.20.10;;Em bruto ;0;
1404.20.90;;Outros ;0;
1404.9;;- Outros;;
1404.90.10;;MatÇrias vegetais das espÇcies principalmente utilizadas na fabricaá∆o de vassouras, escovas, pincÇis e artigos semelhantes (por exemplo, sorgo, piaáaba, raiz de grama (relva), tampico), mesmo em torcidas ou em feixes ;NT;
1404.90.90;;Outros ;NT;
15.01;;Gorduras de porco (incluindo a banha) e gorduras de aves, exceto as das posiá‰es 02.09 ou 15.03.;;
1501.10.00;;- Banha ;0;
1501.20.00;;- Outras gorduras de porco ;0;
1501.90.00;;- Outras ;0;
15.02;;Gorduras de animais das espÇcies bovina, ovina ou caprina, exceto as da posiá∆o 15.03.;;
1502.1;;- Sebo;;
1502.10.1;;Bovino;;
1502.10.11;;Em bruto ;NT;
1502.10.12;;Fundido (incluindo o premier jus) ;NT;
1502.10.19;;Outros ;NT;
1502.10.90;;Outros ;NT;
1502.90.00;;- Outras ;0;
1503.00.00;;"Estearina solar, ¢leo de banha de porco, oleoestearina, oleomargarina e ¢leo de sebo, n∆o
emulsionados nem misturados, nem preparados de outro modo. ";0;
15.04;;Gorduras, ¢leos e respectivas fraá‰es, de peixes ou de mam°feros marinhos, mesmo refinados, mas n∆o quimicamente modificados.;;
1504.1;;- ‡leos de f°gados de peixes e respectivas fraá‰es;;
1504.10.1;;De bacalhau;;
1504.10.11;;‡leo em bruto ;0;
1504.10.19;;Outros ;0;
1504.10.90;;Outros ;0;
1504.20.00;;- Gorduras e ¢leos de peixes e respectivas fraá‰es, exceto ¢leos de f°gados ;0;
1504.30.00;;- Gorduras e ¢leos de mam°feros marinhos e respectivas fraá‰es ;0;
1505;;Suarda e substÉncias gordas dela derivadas, incluindo a lanolina.;;
1505.00.10;;Lanolina ;0;
1505.00.90;;Outras ;0;
1506.00.00;;"Outras gorduras e ¢leos animais, e respectivas fraá‰es, mesmo refinados, mas n∆o quimicamente
modificados. ";0;
15.07;;‡leo de soja e respectivas fraá‰es, mesmo refinados, mas n∆o quimicamente modificados.;;
1507.10.00;;- ‡leo em bruto, mesmo degomado ;0;
1507.9;;- Outros;;
1507.90.1;;Refinado;;
1507.90.11;;Em recipientes com capacidade inferior ou igual a 5 l ;0;
1507.90.19;;Outros ;0;
1507.90.90;;Outros ;0;
15.08;;‡leo de amendoim e respectivas fraá‰es, mesmo refinados, mas n∆o quimicamente modificados.;;
1508.10.00;;- ‡leo em bruto ;0;
1508.90.00;;- Outros ;0;
15.09;;Azeite de oliva (oliveira) e respectivas fraá‰es, mesmo refinados, mas n∆o quimicamente modificados.;;
1509.20.00;;- Azeite de oliva (oliveira) extra virgem ;0;
1509.30.00;;- Azeite de oliva (oliveira) virgem ;0;
1509.40.00;;- Outros azeites de oliva (oliveira) virgens ;0;
1509.9;;- Outros;;
1509.90.10;;Refinado ;0;
1509.90.90;;Outros ;0;
15.1;;Outros ¢leos e respectivas fraá‰es, obtidos exclusivamente a partir de azeitonas, mesmo refinados, mas n∆o quimicamente modificados, e misturas desses ¢leos ou fraá‰es com ¢leos ou fraá‰es da posiá∆o 15.09.;;
1510.10.00;;- ‡leo de bagaáo de azeitona em bruto ;0;
1510.90.00;;- Outros ;0;
15.11;;‡leo de palma (dendà) e respectivas fraá‰es, mesmo refinados, mas n∆o quimicamente modificados.;;
1511.10.00;;- ‡leo em bruto ;0;
1511.90.00;;- Outros ;0;
15.12;;‡leos de girassol, de c†rtamo ou de algod∆o, e respectivas fraá‰es, mesmo refinados, mas n∆o quimicamente modificados.;;
1512.1;;- ‡leos de girassol ou de c†rtamo e respectivas fraá‰es:;;
1512.11;;-- ‡leos em bruto;;
1512.11.10;;De girassol ;0;
1512.11.20;;De c†rtamo ;0;
1512.19;;-- Outros;;
1512.19.1;;De girassol;;
1512.19.11;;Refinado, em recipientes com capacidade inferior ou igual a 5 l ;0;
1512.19.19;;Outros ;0;
1512.19.20;;De c†rtamo ;0;
1512.2;;- ‡leo de algod∆o e respectivas fraá‰es:;;
1512.21.00;;-- ‡leo em bruto, mesmo desprovido de gossipol ;0;
1512.29;;-- Outros;;
1512.29.10;;Refinado ;0;
1512.29.90;;Outros ;0;
15.13;;‡leos de coco (copra), de amàndoa de palma (palmiste) (coconote) ou de babaáu, e respectivas fraá‰es, mesmo refinados, mas n∆o quimicamente modificados.;;
1513.1;;- ‡leo de coco (copra) e respectivas fraá‰es:;;
1513.11.00;;-- ‡leo em bruto ;0;
1513.19.00;;-- Outros ;0;
1513.2;;- ‡leos de amàndoa de palma (palmiste) (coconote) ou de babaáu, e respectivas fraá‰es:;;
1513.21;;-- ‡leos em bruto;;
1513.21.1;;De amàndoa de palma (palmiste) (coconote) ;;
1513.21.11;;De cocombocaya (Acrocomia totai);0;
1513.21.19;;Outros;0;
1513.21.20;;De babaáu ;0;
1513.29;;-- Outros;;
1513.29.1;;De amàndoa de palma (palmiste) (coconote) ;;
1513.29.11;;De cocombocaya (Acrocomia totai);0;
1513.29.19;;Outros;0;
1513.29.20;;De babaáu ;0;
15.14;;‡leos de nabo silvestre, de colza ou de mostarda, e respectivas fraá‰es, mesmo refinados, mas n∆o quimicamente modificados.;;
1514.1;;- ‡leos de nabo silvestre ou de colza com baixo teor de †cido er£cico, e respectivas fraá‰es:;;
1514.11.00;;-- ‡leos em bruto ;0;
1514.19;;-- Outros;;
1514.19.10;;Refinados ;0;
1514.19.90;;Outros ;0;
1514.9;;- Outros:;;
1514.91.00;;-- ‡leos em bruto ;0;
1514.99;;-- Outros;;
1514.99.10;;Refinados ;0;
1514.99.90;;Outros ;0;
15.15;;Outras gorduras e ¢leos vegetais (incluindo o ¢leo de jojoba) ou de origem microbiana e respectivas fraá‰es, fixos, mesmo refinados, mas n∆o quimicamente modificados.;;
1515.1;;- ‡leo de linhaáa (sementes de linho) e respectivas fraá‰es:;;
1515.11.00;;-- ‡leo em bruto ;0;
1515.19.00;;-- Outros ;0;
1515.2;;- ‡leo de milho e respectivas fraá‰es:;;
1515.21.00;;-- ‡leo em bruto ;0;
1515.29;;-- Outros;;
1515.29.10;;Refinado, em recipientes com capacidade inferior ou igual a 5 l ;0;
1515.29.90;;Outros ;0;
1515.30.00;;- ‡leo de r°cino (mamona) e respectivas fraá‰es ;0;
1515.50.00;;- ‡leo de gergelim (sÇsamo) e respectivas fraá‰es ;0;
1515.60.00;;- Gorduras e ¢leos de origem microbiana e respectivas fraá‰es ;0;
1515.9;;- Outros;;
1515.90.10;;‡leo de jojoba e respectivas fraá‰es ;0;
1515.90.2;;‡leo de tungue;;
1515.90.21;;Em bruto ;0;
1515.90.22;;Refinado ;0;
1515.90.90;;Outros ;0;
15.16;;Gorduras e ¢leos animais, vegetais ou de origem microbiana e respectivas fraá‰es, parcial ou totalmente hidrogenados, interesterificados, reesterificados ou elaidinizados, mesmo refinados, mas n∆o preparados de outro modo.;;
1516.10.00;;- Gorduras e ¢leos animais e respectivas fraá‰es ;0;
1516.20.00;;- Gorduras e ¢leos vegetais e respectivas fraá‰es ;0;
1516.30.00;;- Gorduras e ¢leos de origem microbiana e respectivas fraá‰es ;0;
15.17;;"Margarina; misturas ou preparaá‰es aliment°cias de gorduras ou de ¢leos animais, vegetais ou de origem microbiana ou de fraá‰es das diferentes gorduras ou ¢leos do presente Cap°tulo, exceto as gorduras e ¢leos aliment°cios e respectivas fraá‰es da posiá∆o 15.16.";;
1517.10.00;;- Margarina, exceto a margarina l°quida ;0;
1517.9;;- Outras;;
1517.90.10;;Misturas de ¢leos refinados, em recipientes com capacidade inferior ou igual a 5 l ;0;
1517.90.90;;Outras ;0;
1518;;"Gorduras e ¢leos animais, vegetais ou de origem microbiana e respectivas fraá‰es, cozidos, oxidados, desidratados, sulfurados, aerados (soprados*), estandolizados ou modificados quimicamente por qualquer outro processo, com exclus∆o dos da posiá∆o 15.16; misturas ou preparaá‰es n∆o aliment°cias, de gorduras ou de ¢leos animais, vegetais ou de origem microbiana ou de fraá‰es de diferentes gorduras ou ¢leos do presente Cap°tulo, n∆o especificadas nem compreendidas noutras posiá‰es.";;
1518.00.10;;‡leo vegetal epoxidado ;0;
1518.00.90;;Outros ;0;
1520;;"Glicerol em bruto; †guas e lix°vias, glicÇricas.";;
1520.00.10;;Glicerol em bruto ;0;
1520.00.20;;µguas e lix°vias, glicÇricas ;0;
15.21;;Ceras vegetais (exceto os triglicer°deos), ceras de abelha ou de outros insetos e espermacete, mesmo refinados ou corados.;;
1521.10.00;;- Ceras vegetais ;NT;
1521.10.00;01;Refinadas, branqueadas ou coloridas artificialmente;0;
1521.9;;- Outros;;
1521.90.1;;Cera de abelha;;
1521.90.11;;Em bruto ;NT;
1521.90.19;;Outras ;NT;
1521.90.19;01;Refinadas, branqueadas ou coloridas artificialmente;0;
1521.90.90;;Outros ;NT;
1521.90.90;01;Ceras de insetos, refinadas, branqueadas ou coloridas artificialmente;0;
1521.90.90;02;Espermacete, prensado ou refinado;0;
1522.00.00;;"DÇgras; res°duos provenientes do tratamento das substÉncias gordas ou das ceras animais ou vegetais. ";NT;
1601.00.00;;"Enchidos e produtos semelhantes, de carne, miudezas, sangue ou de insetos; preparaá‰es aliment°cias Ö base desses produtos. ";0;
16.02;;Outras preparaá‰es e conservas de carne, miudezas, sangue ou de insetos.;;
1602.10.00;;- Preparaá‰es homogeneizadas ;0;
1602.20.00;;- De f°gados de quaisquer animais ;0;
1602.3;;- De aves da posiá∆o 01.05:;;
1602.31.00;;-- De peruas e de perus ;0;
1602.32;;-- De aves da espÇcie Gallus domesticus;;
1602.32.10;;Com conte£do de carne ou de miudezas igual ou superior a 57 %, em peso, n∆o cozidas ;0;
1602.32.20;;Com conte£do de carne ou de miudezas igual ou superior a 57 %, em peso, cozidas ;0;
1602.32.30;;Com conte£do de carne ou de miudezas igual ou superior a 25 % e inferior a 57 %, em peso ;0;
1602.32.90;;Outras ;0;
1602.39.00;;-- Outras ;0;
1602.4;;- Da espÇcie su°na:;;
1602.41.00;;-- Pernas e respectivos pedaáos ;0;
1602.42.00;;-- P†s e respectivos pedaáos ;0;
1602.49.00;;-- Outras, incluindo as misturas ;0;
1602.50.00;;- Da espÇcie bovina ;0;
1602.90.00;;- Outras, incluindo as preparaá‰es de sangue de quaisquer animais ;0;
1603.00.00;;Extratos e sucos de carne, peixes ou crust†ceos, moluscos ou de outros invertebrados aqu†ticos. ;0;
16.04;;"Preparaá‰es e conservas de peixes; caviar e seus sucedÉneos preparados a partir de ovas de peixe.";;
1604.1;;- Peixes inteiros ou em pedaáos, exceto peixes picados:;;
1604.11.00;;-- Salm‰es ;3,25;
1604.12.00;;-- Arenques ;3,25;
1604.13;;-- Sardinhas (Sardinha e sardinelas*) e anchoveta (espadilha*);;
1604.13.10;;Sardinhas ;0;
1604.13.90;;Outros ;0;
1604.14;;-- Atuns, bonito-listrado (gaiado*) e bonitos (Sarda spp.);;
1604.14.10;;Atuns ;0;
1604.14.20;;Bonito-listrado ;0;
1604.14.30;;Bonito-cachorro ;0;
1604.15.00;;-- Cavalinhas (Sardas e cavalas*) ;0;
1604.16.00;;-- Anchovas (Biqueir‰es*) ;0;
1604.17.00;;-- Enguias ;0;
1604.18.00;;-- Barbatanas de tubar∆o ;0;
1604.19.00;;-- Outros ;0;
1604.2;;- Outras preparaá‰es e conservas de peixes;;
1604.20.10;;De atuns ;0;
1604.20.20;;De bonito-listrado ;0;
1604.20.30;;De sardinhas ou de anchoveta ;0;
1604.20.90;;Outras ;0;
1604.3;;- Caviar e seus sucedÉneos:;;
1604.31.00;;-- Caviar ;3,25;
1604.32.00;;-- SucedÉneos do caviar ;3,25;
16.05;;Crust†ceos, moluscos e outros invertebrados aqu†ticos, preparados ou em conservas.;;
1605.10.00;;- Caranguejos ;0;
1605.2;;- Camar‰es:;;
1605.21.00;;-- N∆o acondicionados em recipientes hermeticamente fechados ;0;
1605.29.00;;-- Outros ;0;
1605.30.00;;- Lavagantes ;0;
1605.40.00;;- Outros crust†ceos ;0;
1605.5;;- Moluscos:;;
1605.51.00;;-- Ostras ;0;
1605.52.00;;-- Vieiras, incluindo a americana ;0;
1605.53.00;;-- Mexilh‰es ;0;
1605.54.00;;-- SÇpias e lulas (Chocos e lulas*) (Chocos, chopos, potas e lulas*) ;0;
1605.55.00;;-- Polvos ;0;
1605.56.00;;-- Amàijoas, berbig‰es e arcas ;0;
1605.57.00;;-- Abalones (Orelhas-do-mar*) ;0;
1605.58.00;;-- Carac¢is, exceto os do mar ;0;
1605.59.00;;-- Outros ;0;
1605.6;;- Outros invertebrados aqu†ticos:;;
1605.61.00;;-- Pepinos-do-mar ;0;
1605.62.00;;-- Ouriáos-do-mar ;0;
1605.63.00;;-- Medusas (†guas-vivas) ;0;
1605.69.00;;-- Outros ;0;
17.01;;Aá£cares de cana ou de beterraba e sacarose quimicamente pura, no estado s¢lido.;;
1701.1;;- Aá£cares em bruto sem adiá∆o de aromatizantes ou de corantes:;;
1701.12.00;;-- De beterraba ;3,25;
1701.13.00;;-- Aá£car de cana mencionado na Nota de subposiá∆o 2 do presente Cap°tulo ;3,25;
1701.14.00;;-- Outros aá£cares de cana ;0;
1701.9;;- Outros:;;
1701.91.00;;-- Adicionados de aromatizantes ou de corantes ;3,25;
1701.99.00;;-- Outros ;0;
1701.99.00;01;Sacarose quimicamente pura;0;
17.02;;"Outros aá£cares, incluindo a lactose, maltose, glicose e frutose (levulose), quimicamente puras, no estado s¢lido; xaropes de aá£cares, sem adiá∆o de aromatizantes ou de corantes; sucedÉneos do mel, mesmo misturados com mel natural; aá£cares e melaáos caramelizados.";;
1702.1;;- Lactose e xarope de lactose:;;
1702.11.00;;-- Que contenham, em peso, 99 % ou mais de lactose, expresso em lactose anidra, calculado sobre a matÇria seca ;0;
1702.19.00;;-- Outros ;0;
1702.20.00;;- Aá£car e xarope, de bordo (†cer) ;0;
1702.3;;- Glicose e xarope de glicose, que n∆o contenham frutose (levulose) ou que contenham, em peso, no estado seco, menos de 20 % de frutose (levulose);;
1702.30.1;;Glicose;;
1702.30.11;;Quimicamente pura ;0;
1702.30.19;;Outra ;3,25;
1702.30.20;;Xarope de glicose ;0;
1702.4;;- Glicose e xarope de glicose, que contenham, em peso, no estado seco, um teor de frutose (levulose) igual ou superior a 20 % e inferior a 50 %, com exceá∆o do aá£car invertido;;
1702.40.10;;Glicose ;0;
1702.40.20;;Xarope de glicose ;0;
1702.50.00;;- Frutose (levulose) quimicamente pura ;0;
1702.6;;- Outra frutose (levulose) e xarope de frutose (levulose), que contenham, em peso, no estado seco, um teor de frutose (levulose) superior a 50 %, com exceá∆o do aá£car invertido;;
1702.60.10;;Frutose (levulose) ;0;
1702.60.20;;Xarope de frutose (levulose) ;0;
1702.90.00;;- Outros, incluindo o aá£car invertido e os outros aá£cares e xaropes de aá£cares, que contenham, em peso, no estado seco, 50 % de frutose (levulose) ;3,25;
17.03;;Melaáos resultantes da extraá∆o ou refinaá∆o do aá£car.;;
1703.10.00;;- Melaáos de cana ;3,25;
1703.90.00;;- Outros ;3,25;
17.04;;Produtos de confeitaria sem cacau (incluindo o chocolate branco).;;
1704.10.00;;- Gomas de mascar (pastilhas el†sticas), mesmo revestidas de aá£car ;3,25;
1704.9;;- Outros;;
1704.90.10;;Chocolate branco ;3,25;
1704.90.20;;Caramelos, confeitos, dropes, pastilhas, e produtos semelhantes ;3,25;
1704.90.90;;Outros ;3,25;
1801.00.00;;Cacau inteiro ou partido, em bruto ou torrado. ;NT;
1801.00.00;01;Torrado;0;
1802.00.00;;Cascas, pel°culas e outros desperd°cios de cacau. ;NT;
18.03;;Pasta de cacau, mesmo desengordurada.;;
1803.10.00;;- N∆o desengordurada ;0;
1803.20.00;;- Total ou parcialmente desengordurada ;0;
1804.00.00;;Manteiga, gordura e ¢leo, de cacau. ;0;
1805.00.00;;Cacau em p¢, sem adiá∆o de aá£car ou de outros edulcorantes. ;0;
18.06;;Chocolate e outras preparaá‰es aliment°cias que contenham cacau.;;
1806.10.00;;- Cacau em p¢, com adiá∆o de aá£car ou de outros edulcorantes ;0;
1806.20.00;;- Outras preparaá‰es em blocos ou em barras, de peso superior a 2 kg, ou no estado l°quido, em pasta, em p¢, grÉnulos ou formas semelhantes, em recipientes ou embalagens imediatas de conte£do superior a 2 kg ;0;
1806.3;;- Outros, em tabletes, barras e paus:;;
1806.31;;-- Recheados;;
1806.31.10;;Chocolate ;3,25;
1806.31.20;;Outras preparaá‰es ;3,25;
1806.32;;-- N∆o recheados;;
1806.32.10;;Chocolate ;3,25;
1806.32.20;;Outras preparaá‰es ;3,25;
1806.90.00;;- Outros ;3,25;
1806.90.00;01;"Achocolatados, assim entendidos os produtos Ö base de chocolate, em p¢ ou em grÉnulos,
destinados Ö mistura com †gua ou leite";0;
19.01;;"Extratos de malte; preparaá‰es aliment°cias de farinhas, grumos, sàmolas, amidos, fÇculas ou de extratos de malte, que n∆o contenham cacau ou que contenham menos de 40 %, em peso, de cacau, calculado sobre uma base totalmente desengordurada, n∆o especificadas nem compreendidas noutras posiá‰es; preparaá‰es aliment°cias de produtos das posiá‰es 04.01 a 04.04, que n∆o contenham cacau ou que contenham menos de 5 %, em peso, de cacau, calculado sobre uma base totalmente desengordurada, n∆o especificadas nem compreendidas noutras posiá‰es.";;
1901.1;;- Preparaá‰es para alimentaá∆o de lactentes e crianáas de tenra idade, acondicionadas para venda a retalho;;
1901.10.10;;Leite modificado ;0;
1901.10.20;;Farinha l†ctea ;0;
1901.10.30;;∑ base de farinha, grumos, sàmola ou amido ;0;
1901.10.90;;Outras ;0;
1901.20;;- Misturas e pastas para a preparaá∆o de produtos de padaria, pastelaria e da ind£stria de bolachas e biscoitos, da posiá∆o 19.05 ;;
