NCM;DESCRICAO
5206.25.00;-- De t tulo inferior a 125 decitex (n mero m trico superior a 80)
5206.3;- Fios retorcidos ou retorcidos m ltiplos, de fibras n o penteadas:
5206.31.00;-- De t tulo igual ou superior a 714,29 decitex por fio simples (n mero m trico n o superior a 14, por fio simples)
5206.32.00;-- De t tulo inferior a 714,29 decitex, mas n o inferior a 232,56 decitex por fio simples (n mero m trico superior a 14, mas n o superior a 43, por fio simples)
5206.33.00;-- De t tulo inferior a 232,56 decitex, mas n o inferior a 192,31 decitex por fio simples (n mero m trico superior a 43, mas n o superior a 52, por fio simples)
5206.34.00;-- De t tulo inferior a 192,31 decitex, mas n o inferior a 125 decitex por fio simples (n mero m trico superior a 52, mas n o superior a 80, por fio simples)
5206.35.00;-- De t tulo inferior a 125 decitex por fio simples (n mero m trico superior a 80, por fio simples)
5206.4;- Fios retorcidos ou retorcidos m ltiplos, de fibras penteadas:
5206.41.00;-- De t tulo igual ou superior a 714,29 decitex por fio simples (n mero m trico n o superior a 14, por fio simples)
5206.42.00;-- De t tulo inferior a 714,29 decitex, mas n o inferior a 232,56 decitex por fio simples (n mero m trico superior a 14, mas n o superior a 43, por fio simples)
5206.43.00;-- De t tulo inferior a 232,56 decitex, mas n o inferior a 192,31 decitex por fio simples (n mero m trico superior a 43, mas n o superior a 52, por fio simples)
5206.44.00;-- De t tulo inferior a 192,31 decitex, mas n o inferior a 125 decitex por fio simples (n mero m trico superior a 52, mas n o superior a 80, por fio simples)
5206.45.00;-- De t tulo inferior a 125 decitex por fio simples (n mero m trico superior a 80, por fio simples)
52.07;Fios de algod o (exceto linhas para costurar) acondicionados para venda a retalho.
5207.10.00;- Que contenham pelo menos 85 %, em peso, de algod o
5207.90.00;- Outros
52.08;Tecidos de algod o que contenham pelo menos 85 %, em peso, de algod o, de peso n o superior a 200 g/m2.
5208.1;- Crus:
5208.11.00;-- Em ponto de tafet , de peso n o superior a 100 g/m2
5208.12.00;-- Em ponto de tafet , de peso superior a 100 g/m2
5208.13.00;-- Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5208.19.00;-- Outros tecidos
5208.2;- Branqueados:
5208.21.00;-- Em ponto de tafet , de peso n o superior a 100 g/m2
5208.22.00;-- Em ponto de tafet , de peso superior a 100 g/m2
5208.23.00;-- Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5208.29.00;-- Outros tecidos
5208.3;- Tintos:
5208.31.00;-- Em ponto de tafet , de peso n o superior a 100 g/m2
5208.32.00;-- Em ponto de tafet , de peso superior a 100 g/m2
5208.33.00;-- Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5208.39.00;-- Outros tecidos
5208.4;- De fios de diversas cores:
5208.41.00;-- Em ponto de tafet , de peso n o superior a 100 g/m2
5208.42.00;-- Em ponto de tafet , de peso superior a 100 g/m2
5208.43.00;-- Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5208.49.00;-- Outros tecidos
5208.5;- Estampados:
5208.51.00;-- Em ponto de tafet , de peso n o superior a 100 g/m2
5208.52.00;-- Em ponto de tafet , de peso superior a 100 g/m2
5208.59;-- Outros tecidos
5208.59.10;Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5208.59.90;Outros
52.09;Tecidos de algod o que contenham pelo menos 85 %, em peso, de algod o, de peso superior a 200 g/m2.
5209.1;- Crus:
5209.11.00;-- Em ponto de tafet 
5209.12.00;-- Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5209.19.00;-- Outros tecidos
5209.2;- Branqueados:
5209.21.00;-- Em ponto de tafet 
5209.22.00;-- Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5209.29.00;-- Outros tecidos
5209.3;- Tintos:
5209.31.00;-- Em ponto de tafet 
5209.32.00;-- Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5209.39.00;-- Outros tecidos
5209.4;- De fios de diversas cores:
5209.41.00;-- Em ponto de tafet 
5209.42;-- Tecidos denominados Denim
5209.42.10;Com fios tintos em indigo blue segundo Color Index 73000
5209.42.90;Outros
5209.43.00;-- Outros tecidos em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5209.49.00;-- Outros tecidos
5209.5;- Estampados:
5209.51.00;-- Em ponto de tafet 
5209.52.00;-- Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5209.59.00;-- Outros tecidos
52.10;Tecidos de algod o que contenham menos de 85 %, em peso, de algod o, combinados, principal ou unicamente, com fibras sint ticas ou artificiais, de peso n o superior a 200 g/m2.
5210.1;- Crus:
5210.11.00;-- Em ponto de tafet 
5210.19;-- Outros tecidos
5210.19.10;Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5210.19.90;Outros
5210.2;- Branqueados:
5210.21.00;-- Em ponto de tafet 
5210.29;-- Outros tecidos
5210.29.10;Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5210.29.90;Outros
5210.3;- Tintos:
5210.31.00;-- Em ponto de tafet 
5210.32.00;-- Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5210.39.00;-- Outros tecidos
5210.4;- De fios de diversas cores:
5210.41.00;-- Em ponto de tafet 
5210.49;-- Outros tecidos
5210.49.10;Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5210.49.90;Outros
5210.5;- Estampados:
5210.51.00;-- Em ponto de tafet 
5210.59;-- Outros tecidos
5210.59.10;Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5210.59.90;Outros
52.11;Tecidos de algod o que contenham menos de 85 %, em peso, de algod o, combinados, principal ou unicamente, com fibras sint ticas ou artificiais, de peso superior a 200 g/m2.
5211.1;- Crus:
5211.11.00;-- Em ponto de tafet 
5211.12.00;-- Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5211.19.00;-- Outros tecidos
5211.20;- Branqueados
5211.20.10;Em ponto de tafet 
5211.20.20;Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5211.20.90;Outros
5211.3;- Tintos:
5211.31.00;-- Em ponto de tafet 
5211.32.00;-- Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5211.39.00;-- Outros tecidos
5211.4;- De fios de diversas cores:
5211.41.00;-- Em ponto de tafet 
5211.42;-- Tecidos denominados Denim
5211.42.10;Com fios tintos em indigo blue segundo Color Index 73000
5211.42.90;Outros
5211.43.00;-- Outros tecidos em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5211.49.00;-- Outros tecidos
5211.5;- Estampados:
5211.51.00;-- Em ponto de tafet 
5211.52.00;-- Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5211.59.00;-- Outros tecidos
52.12;Outros tecidos de algod o.
5212.1;- De peso n o superior a 200 g/m2:
5212.11.00;-- Crus
5212.12.00;-- Branqueados
5212.13.00;-- Tintos
5212.14.00;-- De fios de diversas cores
5212.15.00;-- Estampados
5212.2;- De peso superior a 200 g/m2:
5212.21.00;-- Crus
5212.22.00;-- Branqueados
5212.23.00;-- Tintos
5212.24.00;-- De fios de diversas cores
5212.25.00;-- Estampados
53;"Outras fibras t xteis vegetais; fios de papel e tecidos de fios de papel."
53.01;"Linho em bruto ou trabalhado, mas n o fiado; estopas e desperd cios de linho (incluindo os desperd cios de fios e os fiapos)."
5301.10.00;- Linho em bruto ou macerado
5301.2;- Linho quebrado, espadelado, penteado ou trabalhado de outra forma, mas n o fiado:
5301.21;-- Quebrado ou espadelado
5301.21.10;Quebrado
5301.21.20;Espadelado
5301.29;-- Outro
5301.29.10;Penteado
5301.29.90;Outro
5301.30.00;- Estopas e desperd cios de linho
53.02;"C nhamo (Cannabis sativa L.), em bruto ou trabalhado, mas n o fiado; estopas e desperd cios de c nhamo (incluindo os desperd cios de fios e os fiapos)."
5302.10.00;- C nhamo em bruto ou macerado
5302.90.00;- Outros
53.03;"Juta e outras fibras t xteis liberianas (exceto linho, c nhamo e rami), em bruto ou trabalhadas, mas n o fiadas; estopas e desperd cios destas fibras (incluindo os desperd cios de fios e os fiapos)."
5303.10;- Juta e outras fibras t xteis liberianas, em bruto ou maceradas
5303.10.10;Juta
5303.10.90;Outras
5303.90;- Outros
5303.90.10;Juta
5303.90.90;Outros
5305.00;"Cairo (fibra de coco), abac  (c nhamo-de-manilha ou Musa textilis Nee), rami e outras fibras t xteis vegetais n o especificadas nem compreendidas noutras posi  es, em bruto ou trabalhados, mas n o fiados; estopas e desperd cios destas fibras (incluindo os desperd cios de fios e os fiapos)."
5305.00.10;De abac , em bruto
5305.00.90;Outros
53.06;Fios de linho.
5306.10.00;- Simples
5306.20.00;- Retorcidos ou retorcidos m ltiplos
53.07;Fios de juta ou de outras fibras t xteis liberianas da posi  o 53.03.
5307.10;- Simples
5307.10.10;De juta
5307.10.90;Outros
5307.20;- Retorcidos ou retorcidos m ltiplos
5307.20.10;De juta
5307.20.90;Outros
53.08;"Fios de outras fibras t xteis vegetais; fios de papel."
5308.10.00;- Fios de cairo (fibra de coco)
5308.20.00;- Fios de c nhamo
5308.90.00;- Outros
53.09;Tecidos de linho.
5309.1;- Que contenham pelo menos 85 %, em peso, de linho:
5309.11.00;-- Crus ou branqueados
5309.19.00;-- Outros
5309.2;- Que contenham menos de 85 %, em peso, de linho:
5309.21.00;-- Crus ou branqueados
5309.29.00;-- Outros
53.10;Tecidos de juta ou de outras fibras t xteis liberianas da posi  o 53.03.
5310.10;- Crus
5310.10.10;Aniagem de juta
5310.10.90;Outros
5310.90.00;- Outros
5311.00.00;"Tecidos de outras fibras t xteis vegetais; tecidos de fios de papel."
54;"Filamentos sint ticos ou artificiais; l minas e formas semelhantes de mat rias t xteis sint ticas ou artificiais."
54.01;Linhas para costurar de filamentos sint ticos ou artificiais, mesmo acondicionadas para venda a retalho.
5401.10;- De filamentos sint ticos
5401.10.1;De poli ster
5401.10.11;N o acondicionadas para venda a retalho
5401.10.12;Acondicionadas para venda a retalho
5401.10.90;Outras
5401.20;- De filamentos artificiais
5401.20.1;De raiom viscose, de alta tenacidade
5401.20.11;N o acondicionadas para venda a retalho
5401.20.12;Acondicionadas para venda a retalho
5401.20.90;Outras
54.02;Fios de filamentos sint ticos (exceto linhas para costurar), n o acondicionados para venda a retalho, incluindo os monofilamentos sint ticos de t tulo inferior a 67 decitex.
5402.1;- Fios de alta tenacidade, de n ilon ou de outras poliamidas, mesmo texturizados:
5402.11.00;-- De aramidas
5402.19;-- Outros
5402.19.10;De n ilon
5402.19.90;Outros
5402.20;- Fios de alta tenacidade, de poli steres, mesmo texturizados
5402.20.10;De copol mero de  cido p-hidroxibenzoico e  cido hidroxinaftoico
5402.20.90;Outros
5402.3;- Fios texturizados:
5402.31;-- De n ilon ou de outras poliamidas, de t tulo n o superior a 50 tex por fio simples
5402.31.1;De n ilon
5402.31.11;Tintos
5402.31.19;Outros
5402.31.90;Outros
5402.32;-- De n ilon ou de outras poliamidas, de t tulo superior a 50 tex por fio simples
5402.32.1;De n ilon
5402.32.11;Multifilamento com efeito antiest tico permanente, de t tulo superior a 110 tex
5402.32.19;Outros
5402.32.90;Outros
5402.33;-- De poli steres
5402.33.10;Crus
5402.33.20;Tintos
5402.33.90;Outros
5402.34.00;-- De polipropileno
5402.39.00;-- Outros
5402.4;- Outros fios, simples, sem tor  o ou com tor  o n o superior a 50 voltas por metro:
5402.44.00;-- De elast meros
5402.45;-- Outros, de n ilon ou de outras poliamidas
5402.45.10;De aramidas
5402.45.20;De n ilon
5402.45.90;Outros
5402.46.00;-- Outros, de poli steres, parcialmente orientados
5402.47;-- Outros, de poli steres
5402.47.10;Crus
5402.47.20;Tintos
5402.47.90;Outros
5402.48.00;-- Outros, de polipropileno
5402.49;-- Outros
5402.49.10;De polietileno, com tenacidade igual ou superior a 26 cN/tex
5402.49.90;Outros
5402.5;- Outros fios, simples, com tor  o superior a 50 voltas por metro:
5402.51;-- De n ilon ou de outras poliamidas
5402.51.10;De aramidas
5402.51.90;Outros
5402.52.00;-- De poli steres
5402.53.00;-- De polipropileno
5402.59.00;-- Outros
5402.6;- Outros fios, retorcidos ou retorcidos m ltiplos:
5402.61;-- De n ilon ou de outras poliamidas
5402.61.10;De aramidas
5402.61.90;Outros
5402.62.00;-- De poli steres
5402.63.00;-- De polipropileno
5402.69.00;-- Outros
54.03;Fios de filamentos artificiais (exceto linhas para costurar), n o acondicionados para venda a retalho, incluindo os monofilamentos artificiais de t tulo inferior a 67 decitex.
5403.10.00;- Fios de alta tenacidade, de raiom viscose
5403.3;- Outros fios, simples:
5403.31;-- De raiom viscose, sem tor  o ou com tor  o n o superior a 120 voltas por metro
5403.31.10;Crus ou branqueados
5403.31.90;Outros
5403.32.00;-- De raiom viscose, com tor  o superior a 120 voltas por metro
5403.33.00;-- De acetato de celulose
5403.39.00;-- Outros
5403.4;- Outros fios, retorcidos ou retorcidos m ltiplos:
5403.41.00;-- De raiom viscose
5403.42.00;-- De acetato de celulose
5403.49.00;-- Outros
54.04;"Monofilamentos sint ticos, de t tulo igual ou superior a 67 decitex e cuja maior dimens o da se  o transversal n o seja superior a 1 mm; l minas e formas semelhantes (palha artificial, por exemplo) de mat rias t xteis sint ticas, cuja largura aparente n o seja superior a 5 mm."
5404.1;- Monofilamentos:
5404.11.00;-- De elast meros
5404.12.00;-- Outros, de polipropileno
5404.19;-- Outros
5404.19.1;Imita  es de categute
5404.19.11;Reabsorv veis
5404.19.19;Outros
5404.19.90;Outros
5404.90.00;- Outras
5405.00.00;"Monofilamentos artificiais, de t tulo igual ou superior a 67 decitex e cuja maior dimens o da se  o transversal n o seja superior a 1 mm; l minas e formas semelhantes (palha artificial, por exemplo) de mat rias t xteis artificiais, cuja largura aparente n o seja superior a 5 mm."
5406.00;Fios de filamentos sint ticos ou artificiais (exceto linhas para costurar), acondicionados para venda a retalho.
5406.00.10;Fios de filamentos sint ticos
5406.00.20;Fios de filamentos artificiais
54.07;Tecidos de fios de filamentos sint ticos, incluindo os tecidos obtidos a partir dos produtos da posi  o 54.04.
5407.10;- Tecidos obtidos a partir de fios de alta tenacidade, de n ilon ou de outras poliamidas ou de poli steres
5407.10.1;Sem fios de borracha
5407.10.11;De aramidas
5407.10.19;Outros
5407.10.2;Com fios de borracha
5407.10.21;De aramidas
5407.10.29;Outros
5407.20.00;- Tecidos obtidos a partir de l minas ou de formas semelhantes
5407.30.00;"- ""Tecidos"" mencionados na Nota 9 da Se  o XI"
5407.4;- Outros tecidos, que contenham pelo menos 85 %, em peso, de filamentos de n ilon ou de outras poliamidas:
5407.41.00;-- Crus ou branqueados
5407.42.00;-- Tintos
5407.43.00;-- De fios de diversas cores
5407.44.00;-- Estampados
5407.5;- Outros tecidos, que contenham pelo menos 85 %, em peso, de filamentos de poli ster texturizados:
5407.51.00;-- Crus ou branqueados
5407.52;-- Tintos
5407.52.10;Sem fios de borracha
5407.52.20;Com fios de borracha
5407.53.00;-- De fios de diversas cores
5407.54.00;-- Estampados
5407.6;- Outros tecidos, que contenham pelo menos 85 %, em peso, de filamentos de poli ster:
5407.61.00;-- Que contenham pelo menos 85 %, em peso, de filamentos de poli ster n o texturizados
5407.69.00;-- Outros
5407.7;- Outros tecidos, que contenham pelo menos 85 %, em peso, de filamentos sint ticos:
5407.71.00;-- Crus ou branqueados
5407.72.00;-- Tintos
5407.73.00;-- De fios de diversas cores
5407.74.00;-- Estampados
5407.8;- Outros tecidos, que contenham menos de 85 %, em peso, de filamentos sint ticos, combinados, principal ou unicamente, com algod o:
5407.81.00;-- Crus ou branqueados
5407.82.00;-- Tintos
5407.83.00;-- De fios de diversas cores
5407.84.00;-- Estampados
5407.9;- Outros tecidos:
5407.91.00;-- Crus ou branqueados
5407.92.00;-- Tintos
5407.93.00;-- De fios de diversas cores
5407.94.00;-- Estampados
54.08;Tecidos de fios de filamentos artificiais, incluindo os tecidos obtidos a partir dos produtos da posi  o 54.05.
5408.10.00;- Tecidos obtidos a partir de fios de alta tenacidade, de raiom viscose
5408.2;- Outros tecidos, que contenham pelo menos 85 %, em peso, de filamentos ou de l minas ou formas semelhantes, artificiais:
5408.21.00;-- Crus ou branqueados
5408.22.00;-- Tintos
5408.23.00;-- De fios de diversas cores
5408.24.00;-- Estampados
5408.3;- Outros tecidos:
5408.31.00;-- Crus ou branqueados
5408.32.00;-- Tintos
5408.33.00;-- De fios de diversas cores
5408.34.00;-- Estampados
55;Fibras sint ticas ou artificiais, descont nuas.
55.01;Cabos de filamentos sint ticos.
5501.1;- De n ilon ou de outras poliamidas:
5501.11.00;-- De aramidas
5501.19.00;-- Outros
5501.20.00;- De poli steres
5501.30.00;- Acr licos ou modacr licos
5501.40.00;- De polipropileno
5501.90.00;- Outros
55.02;Cabos de filamentos artificiais.
5502.10.00;- De acetato de celulose
5502.90;- Outros
5502.90.10;De raiom viscose
5502.90.90;Outros
55.03;Fibras sint ticas descont nuas, n o cardadas, n o penteadas nem transformadas de outro modo para fia  o.
5503.1;- De n ilon ou de outras poliamidas:
5503.11.00;-- De aramidas
5503.19;-- Outras
5503.19.10;Bicomponentes, de diferentes pontos de fus o
5503.19.90;Outras
5503.20;- De poli steres
5503.20.10;Bicomponentes, de diferentes pontos de fus o
5503.20.90;Outras
5503.30.00;- Acr licas ou modacr licas
5503.40.00;- De polipropileno
5503.90;- Outras
5503.90.10;Bicomponentes, de diferentes pontos de fus o
5503.90.20;De poli( lcool vin lico)
5503.90.90;Outras
55.04;Fibras artificiais descont nuas, n o cardadas, n o penteadas nem transformadas de outro modo para fia  o.
5504.10.00;- De raiom viscose
5504.90;- Outras
5504.90.10;De liocel
5504.90.90;Outras
55.05;Desperd cios de fibras sint ticas ou artificiais (incluindo os desperd cios da pentea  o, os de fios e os fiapos).
5505.10.00;- De fibras sint ticas
5505.20.00;- De fibras artificiais
55.06;Fibras sint ticas descont nuas, cardadas, penteadas ou transformadas de outro modo para fia  o.
5506.10.00;- De n ilon ou de outras poliamidas
5506.20.00;- De poli steres
5506.30.00;- Acr licas ou modacr licas
5506.40.00;- De polipropileno
5506.90.00;- Outras
5507.00.00;Fibras artificiais descont nuas, cardadas, penteadas ou transformadas de outro modo para fia  o.
55.08;Linhas para costurar, de fibras sint ticas ou artificiais descont nuas, mesmo acondicionadas para venda a retalho.
5508.10.00;- De fibras sint ticas descont nuas
5508.20.00;- De fibras artificiais descont nuas
55.09;Fios de fibras sint ticas descont nuas (exceto linhas para costurar), n o acondicionados para venda a retalho.
5509.1;- Que contenham pelo menos 85 %, em peso, de fibras descont nuas de n ilon ou de outras poliamidas:
5509.11.00;-- Simples
5509.12;-- Retorcidos ou retorcidos m ltiplos
5509.12.10;De aramidas
5509.12.90;Outros
5509.2;- Que contenham pelo menos 85 %, em peso, de fibras descont nuas de poli ster:
5509.21.00;-- Simples
5509.22.00;-- Retorcidos ou retorcidos m ltiplos
5509.3;- Que contenham pelo menos 85 %, em peso, de fibras descont nuas acr licas ou modacr licas:
5509.31.00;-- Simples
5509.32.00;-- Retorcidos ou retorcidos m ltiplos
5509.4;- Outros fios, que contenham pelo menos 85 %, em peso, de fibras sint ticas descont nuas:
5509.41.00;-- Simples
5509.42.00;-- Retorcidos ou retorcidos m ltiplos
5509.5;- Outros fios de fibras descont nuas de poli ster:
5509.51.00;-- Combinadas, principal ou unicamente, com fibras artificiais descont nuas
5509.52.00;-- Combinadas, principal ou unicamente, com l  ou pelos finos
5509.53.00;-- Combinadas, principal ou unicamente, com algod o
5509.59.00;-- Outros
5509.6;- Outros fios de fibras descont nuas acr licas ou modacr licas:
5509.61.00;-- Combinadas, principal ou unicamente, com l  ou pelos finos
5509.62.00;-- Combinadas, principal ou unicamente, com algod o
5509.69.00;-- Outros
5509.9;- Outros fios:
5509.91.00;-- Combinados, principal ou unicamente, com l  ou pelos finos
5509.92.00;-- Combinados, principal ou unicamente, com algod o
5509.99.00;-- Outros
55.10;Fios de fibras artificiais descont nuas (exceto linhas para costurar), n o acondicionados para venda a retalho.
5510.1;- Que contenham pelo menos 85 %, em peso, de fibras artificiais descont nuas:
5510.11;-- Simples
5510.11.1;Obtidos a partir de fibras de celulose
5510.11.11;De raiom viscose, exceto modal
5510.11.12;De modal
5510.11.13;De liocel
5510.11.19;Outros
5510.11.90;Outros
5510.12;-- Retorcidos ou retorcidos m ltiplos
5510.12.1;Obtidos a partir de fibras de celulose
5510.12.11;De raiom viscose, exceto modal
5510.12.12;De modal
5510.12.13;De liocel
5510.12.19;Outros
5510.12.90;Outros
5510.20;- Outros fios, combinados, principal ou unicamente, com l  ou pelos finos
5510.20.1;Obtidos a partir de fibras de celulose
5510.20.11;De raiom viscose, exceto modal
5510.20.12;De modal
5510.20.13;De liocel
5510.20.19;Outros
5510.20.90;Outros
5510.30;- Outros fios, combinados, principal ou unicamente, com algod o
5510.30.1;Obtidos a partir de fibras de celulose
5510.30.11;De raiom viscose, exceto modal
5510.30.12;De modal
5510.30.13;De liocel
5510.30.19;Outros
5510.30.90;Outros
5510.90;- Outros fios
5510.90.1;Obtidos a partir de fibras de celulose
5510.90.11;De raiom viscose, exceto modal
5510.90.12;De modal
5510.90.13;De liocel
5510.90.19;Outros
5510.90.90;Outros
55.11;Fios de fibras sint ticas ou artificiais, descont nuas (exceto linhas para costurar), acondicionados para venda a retalho.
5511.10.00;- De fibras sint ticas descont nuas, que contenham pelo menos 85 %, em peso, destas fibras
5511.20.00;- De fibras sint ticas descont nuas, que contenham menos de 85 %, em peso, destas fibras
5511.30.00;- De fibras artificiais descont nuas
55.12;Tecidos de fibras sint ticas descont nuas, que contenham pelo menos 85 %, em peso, destas fibras.
5512.1;- Que contenham pelo menos 85 %, em peso, de fibras descont nuas de poli ster:
5512.11.00;-- Crus ou branqueados
5512.19.00;-- Outros
5512.2;- Que contenham pelo menos 85 %, em peso, de fibras descont nuas acr licas ou modacr licas:
5512.21.00;-- Crus ou branqueados
5512.29.00;-- Outros
5512.9;- Outros:
5512.91;-- Crus ou branqueados
5512.91.10;De aramidas
5512.91.90;Outros
5512.99;-- Outros
5512.99.10;De aramidas
5512.99.90;Outros
55.13;Tecidos de fibras sint ticas descont nuas, que contenham menos de 85 %, em peso, destas fibras, combinados, principal ou unicamente, com algod o, de peso n o superior a 170 g/m2.
5513.1;- Crus ou branqueados:
5513.11.00;-- De fibras descont nuas de poli ster, em ponto de tafet 
5513.12.00;-- De fibras descont nuas de poli ster, em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5513.13.00;-- Outros tecidos de fibras descont nuas de poli ster
5513.19.00;-- Outros tecidos
5513.2;- Tintos:
5513.21.00;-- De fibras descont nuas de poli ster, em ponto de tafet 
5513.23;-- Outros tecidos de fibras descont nuas de poli ster
5513.23.10;Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5513.23.90;Outros
5513.29.00;-- Outros tecidos
5513.3;- De fios de diversas cores:
5513.31.00;-- De fibras descont nuas de poli ster, em ponto de tafet 
5513.39;-- Outros tecidos
5513.39.1;De fibras descont nuas de poli ster
5513.39.11;Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5513.39.19;Outros
5513.39.90;Outros
5513.4;- Estampados:
5513.41.00;-- De fibras descont nuas de poli ster, em ponto de tafet 
5513.49;-- Outros tecidos
5513.49.1;De fibras descont nuas de poli ster
5513.49.11;Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5513.49.19;Outros
5513.49.90;Outros
55.14;Tecidos de fibras sint ticas descont nuas, que contenham menos de 85 %, em peso, destas fibras, combinados, principal ou unicamente, com algod o, de peso superior a 170 g/m2.
5514.1;- Crus ou branqueados:
5514.11.00;-- De fibras descont nuas de poli ster, em ponto de tafet 
5514.12.00;-- De fibras descont nuas de poli ster, em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5514.19;-- Outros tecidos
5514.19.10;De fibras descont nuas de poli ster
5514.19.90;Outros
5514.2;- Tintos:
5514.21.00;-- De fibras descont nuas de poli ster, em ponto de tafet 
5514.22.00;-- De fibras descont nuas de poli ster, em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5514.23.00;-- Outros tecidos de fibras descont nuas de poli ster
5514.29.00;-- Outros tecidos
5514.30;- De fios de diversas cores
5514.30.1;De fibras descont nuas de poli ster
5514.30.11;Em ponto de tafet 
5514.30.12;Em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5514.30.19;Outros
5514.30.90;Outros
5514.4;- Estampados:
5514.41.00;-- De fibras descont nuas de poli ster, em ponto de tafet 
5514.42.00;-- De fibras descont nuas de poli ster, em ponto sarjado, incluindo o diagonal, cuja rela  o de textura n o seja superior a 4
5514.43.00;-- Outros tecidos de fibras descont nuas de poli ster
5514.49.00;-- Outros tecidos
55.15;Outros tecidos de fibras sint ticas descont nuas.
5515.1;- De fibras descont nuas de poli ster:
5515.11.00;-- Combinadas, principal ou unicamente, com fibras descont nuas de raiom viscose
5515.12.00;-- Combinadas, principal ou unicamente, com filamentos sint ticos ou artificiais
5515.13.00;-- Combinadas, principal ou unicamente, com l  ou pelos finos
5515.19.00;-- Outros
5515.2;- De fibras descont nuas acr licas ou modacr licas:
5515.21.00;-- Combinadas, principal ou unicamente, com filamentos sint ticos ou artificiais
5515.22.00;-- Combinadas, principal ou unicamente, com l  ou pelos finos
5515.29.00;-- Outros
5515.9;- Outros tecidos:
5515.91.00;-- Combinados, principal ou unicamente, com filamentos sint ticos ou artificiais
5515.99;-- Outros
5515.99.10;Combinados, principal ou unicamente, com l  ou pelos finos
5515.99.90;Outros
55.16;Tecidos de fibras artificiais descont nuas.
5516.1;- Que contenham pelo menos 85 %, em peso, de fibras artificiais descont nuas:
5516.11.00;-- Crus ou branqueados
5516.12.00;-- Tintos
5516.13.00;-- De fios de diversas cores
5516.14.00;-- Estampados
5516.2;- Que contenham menos de 85 %, em peso, de fibras artificiais descont nuas, combinadas, principal ou unicamente, com filamentos sint ticos ou artificiais:
5516.21.00;-- Crus ou branqueados
5516.22.00;-- Tintos
5516.23.00;-- De fios de diversas cores
5516.24.00;-- Estampados
5516.3;- Que contenham menos de 85 %, em peso, de fibras artificiais descont nuas, combinadas, principal ou unicamente, com l  ou pelos finos:
5516.31.00;-- Crus ou branqueados
5516.32.00;-- Tintos
5516.33.00;-- De fios de diversas cores
5516.34.00;-- Estampados
5516.4;- Que contenham menos de 85 %, em peso, de fibras artificiais descont nuas, combinadas, principal ou unicamente, com algod o:
5516.41.00;-- Crus ou branqueados
5516.42.00;-- Tintos
5516.43.00;-- De fios de diversas cores
5516.44.00;-- Estampados
5516.9;- Outros:
5516.91.00;-- Crus ou branqueados
5516.92.00;-- Tintos
5516.93.00;-- De fios de diversas cores
5516.94.00;-- Estampados
56;"Pastas (ouates), feltros e falsos tecidos (tecidos n o tecidos); fios especiais; cord is, cordas e cabos; artigos de cordoaria."
56.01;"Pastas (ouates) de mat rias t xteis e artigos destas pastas (ouates); fibras t xteis de comprimento n o superior a 5 mm (tontisses), n s e bolotas (borbotos*) de mat rias t xteis."
5601.2;- Pastas (ouates) de mat rias t xteis e artigos destas pastas (ouates):
5601.21;-- De algod o
5601.21.10;Pastas (ouates)
5601.21.90;Outros artigos de pastas (ouates)
5601.22;-- De fibras sint ticas ou artificiais
5601.22.1;Pastas (ouates)
5601.22.11;De aramidas
5601.22.19;Outras
5601.22.9;Outros artigos de pastas ( ouates)
